Month,Passengers In China
1,13.224
2,10.789
3,6.434
4,6.433
5,4.002
6,3.54
7,7.214
8,5.294
9,4.57
10,7.315
11,7.21
12,7.801
13,10.677
14,13.367
15,8.047
16,7.286
17,5.44
18,6.423
19,10.193
20,8.83
21,8.17
22,10.606
23,9.898
24,12.807
25,18.81
26,14.584
27,8.525
28,7.987
29,7.595
30,8.146
31,14.233
32,11.762
33,10.758
34,13.648
35,11.995
36,12.6
37,16.191
38,13.642
39,14.349
40,14.261
41,12.606
42,12.565
43,15.547
44,13.013
45,12.823
46,15.167
47,17.486
48,18.651
49,21.201
50,22.568
51,19.143
52,18.401
53,15.417
54,14.021
55,17.872
56,14.866
57,16.354
58,15.542
59,15.501
60,17.671
61,28.195
62,23.112
63,15.725
64,14.801
65,13.887
66,12.924
67,17.184
68,14.702
69,13.758
70,16.287
71,14.964
72,22.199
73,27.937
74,28.596
75,19.387
76,15.145
77,14.393
78,13.101
79,16.482
80,14.852
81,16.74
82,21.313
83,20.606
84,24.804
85,35.429
86,36.264
87,23.066
88,23.386
89,17.894
90,17.799
91,22.409
92,16.729
93,17.522
94,21.301
95,24.107
96,32.365
97,45.646
98,37.151
99,29.907
100,30.467
101,24.784
102,22.659
103,33.972
104,26.18
105,23.997
106,30.318
107,26.439
108,32.959
109,43.647
110,45.129
111,33.745
112,29.896
113,22.655
114,21.21
115,32.686
116,27.857
117,23.826
118,31.235
119,30.048
120,37.872
121,50.33
122,47.541
123,31.185
124,31.263
125,32.392
126,29.729
127,36.012
128,33.17
129,30.961
130,38.057
131,37.204
132,39.13
133,49.038
134,12.208
135,1.253
136,157
137,202
138,409
139,307
140,141
141,200
142,294
143,319
144,295
145,154
146,180
147,271
148,267
149,229
150,239
151,163
152,101
153,61
154,62
155,204
156,623
157,504
158,863
159,726
160,280
161,383
162,636
163,1.005
164,836
165,987
166,833
167,1.044
168,992
169,2.879
170,9.125
