Month,Passengers 
Jan-09,13224
Feb-09,10789
Mar-09,6434
Apr-09,6433
May-09,4002
Jun-09,354
Jul-09,7214
Aug-09,5294
Sep-09,457
Oct-09,7315
Nov-09,721
Dec-09,7801
Jan-10,10677
Feb-10,13367
Mar-10,8047
Apr-10,7286
May-10,544
Jun-10,6423
Jul-10,10193
Aug-10,883
Sep-10,817
Oct-10,10606
Nov-10,9898
Dec-10,12807
Jan-11,1881
Feb-11,14584
Mar-11,8525
Apr-11,7987
May-11,7595
Jun-11,8146
Jul-11,14233
Aug-11,11762
Sep-11,10758
Oct-11,13648
Nov-11,11995
Dec-11,126
Jan-12,16191
Feb-12,13642
Mar-12,14349
Apr-12,14261
May-12,12606
Jun-12,12565
Jul-12,15547
Aug-12,13013
Sep-12,12823
Oct-12,15167
Nov-12,17486
Dec-12,18651
Jan-13,21201
Feb-13,22568
Mar-13,19143
Apr-13,18401
May-13,15417
Jun-13,14021
Jul-13,17872
Aug-13,14866
Sep-13,16354
Oct-13,15542
Nov-13,15501
Dec-13,17671
Jan-14,28195
Feb-14,23112
Mar-14,15725
Apr-14,14801
May-14,13887
Jun-14,12924
Jul-14,17184
Aug-14,14702
Sep-14,13758
Oct-14,16287
Nov-14,14964
Dec-14,22199
Jan-15,27937
Feb-15,28596
Mar-15,19387
Apr-15,15145
May-15,14393
Jun-15,13101
Jul-15,16482
Aug-15,14852
Sep-15,1674
Oct-15,21313
Nov-15,20606
Dec-15,24804
Jan-16,35429
Feb-16,36264
Mar-16,23066
Apr-16,23386
May-16,17894
Jun-16,17799
Jul-16,22409
Aug-16,16729
Sep-16,17522
Oct-16,21301
Nov-16,24107
Dec-16,32365
Jan-17,45646
Feb-17,37151
Mar-17,29907
Apr-17,30467
May-17,24784
Jun-17,22659
Jul-17,33972
Aug-17,2618
Sep-17,23997
Oct-17,30318
Nov-17,26439
Dec-17,32959
Jan-18,43647
Feb-18,45129
Mar-18,33745
Apr-18,29896
May-18,22655
Jun-18,2121
Jul-18,32686
Aug-18,27857
Sep-18,23826
Oct-18,31235
Nov-18,30048
Dec-18,37872
Jan-19,5033
Feb-19,47541
Mar-19,31185
Apr-19,31263
May-19,32392
Jun-19,29729
Jul-19,36012
Aug-19,3317
Sep-19,30961
Oct-19,38057
Nov-19,37204
Dec-19,3913
Jan-20,49038
Feb-20,12208
Mar-20,1253
Apr-20,157
May-20,202
Jun-20,409
Jul-20,307
Aug-20,141
Sep-20,200
Oct-20,294
Nov-20,319
Dec-20,295
Jan-21,154
Feb-21,180
Mar-21,271
Apr-21,267
May-21,229
Jun-21,239
Jul-21,163
Aug-21,101
Sep-21,61
Oct-21,62
Nov-21,204
Dec-21,623
Jan-22,504
Feb-22,863
Mar-22,726
Apr-22,280
May-22,383
Jun-22,636
Jul-22,1005
Aug-22,836
Sep-22,987
Oct-22,833
Nov-22,1044
Dec-22,992
Jan-23,2879
Feb-23,9125
