Month,Passengers
1,13224
2,10789
3,6434
4,6433
5,4002
6,354
7,7214
8,5294
9,457
10,7315
11,721
12,7801
13,10677
14,13367
15,8047
16,7286
17,544
18,6423
19,10193
20,883
21,817
22,10606
23,9898
24,12807
25,1881
26,14584
27,8525
28,7987
29,7595
30,8146
31,14233
32,11762
33,10758
34,13648
35,11995
36,126
37,16191
38,13642
39,14349
40,14261
41,12606
42,12565
43,15547
44,13013
45,12823
46,15167
47,17486
48,18651
49,21201
50,22568
51,19143
52,18401
53,15417
54,14021
55,17872
56,14866
57,16354
58,15542
59,15501
60,17671
61,28195
62,23112
63,15725
64,14801
65,13887
66,12924
67,17184
68,14702
69,13758
70,16287
71,14964
72,22199
73,27937
74,28596
75,19387
76,15145
77,14393
78,13101
79,16482
80,14852
81,1674
82,21313
83,20606
84,24804
85,35429
86,36264
87,23066
88,23386
89,17894
90,17799
91,22409
92,16729
93,17522
94,21301
95,24107
96,32365
97,45646
98,37151
99,29907
100,30467
101,24784
102,22659
103,33972
104,2618
105,23997
106,30318
107,26439
108,32959
109,43647
110,45129
111,33745
112,29896
113,22655
114,2121
115,32686
116,27857
117,23826
118,31235
119,30048
120,37872
121,5033
122,47541
123,31185
124,31263
125,32392
126,29729
127,36012
128,3317
129,30961
130,38057
131,37204
132,3913
