Y,X1,X2
878.03,354,50
1001.9,347,31
779.275,232,20
698.5,209,18
628.78,270,23
548.225,323,23
491.9,348,21
583.85,420,29
887.82,399,14
1856.815,472,30
723.8,489,19
1015.66,492,25
1044.24,463,24
953.252,243,9
1084.85,208,13
940.17,192,5
765.9,194,10
746.788,217,12
708.828,203,6
790.788,265.5,15
852.125,243.5,11
1574.335,222,8
1277.725,228,18
1258.349,286,28
1476.324,248,24
1224.862,239,20
1150.7,250,13
998.337,318,18
997.15,275,18
760.05,311,20
652.362,240,8
753.05,275.5,12
1118.699,307,18
1617.275,312,11
1062.686,246,27
1624.335,257,18
0,1,0
526.35,144,7
612.5,165,9
540.2,132,9
547.94,148,23
496.1,163,8
479.35,219,15
549.3,239,12
863.75,223,23
1184.35,226,15
867.899,192,15
1007.18,226,6
1134.325,229,11
1255.374,268,12
999.123,381,42
836.037,289,21
644.648,259,13
584.343,248,18
679.35,283,19
733.838,253,20
1058.262,263,12
1129.275,287,25
995.15,252.2,22
1213.95,254,27
1660.612,295.2,23
1001.212,249.4,12
941.05,301.4,19
647.65,299.4,22
703.562,265.8,26
610,193,25
649.8,250.6,20
518.1,237,26
984.48,227.8,16
295.15,86,7
